fold,variable,model,n,bias,mae,rmse,pearson_r,nse,wet_accuracy,pod,far,csi,frequency_bias,wet_amount_rmse
4,PRECTOTCORR,anchor_idw_bmd,3005,-0.03390974820474446,1.0966208089315166,1.950425446952022,0.39162823230175714,-0.0191426493462592,0.9504159733777038,0.9642857142857143,0.017824663514005093,0.9477009477009477,0.9817857142857143,2.0439259911805907
4,PRECTOTCORR,global_month_hour_bias,3623,5.269320469695752,23.196440022397258,43.75983607467726,0.2464195191653383,-360.4333799555277,0.4496273806237924,0.40969295605057193,0.023672883787661407,0.40566318926974665,0.419626730885009,67.72584917808803
4,PRECTOTCORR,idw_residual,3623,4.125714253089493,11.93188222990887,27.15437253777686,0.11601847340576446,-138.17346178957146,0.68755175269114,0.6866345574954846,0.03836424957841484,0.6683269850571345,0.7140276941601444,29.442767340766935
4,PRECTOTCORR,linear_stack,3623,-0.2059543256567159,0.9610014517748667,2.1645274789168876,0.3519877253169522,0.11569293778454703,0.9417609715705216,0.9927754364840458,0.05365853658536585,0.9398689085209462,1.0490668272125225,2.2640884253854257
4,PRECTOTCORR,ml_two_stage,3623,-0.29938236584220734,0.9217203867312421,2.1744191763028065,0.352883293369076,0.10759206114860997,0.9577698040298096,0.9804334738109572,0.026307922272047833,0.9551319648093841,1.0069235400361227,2.2024981947714046
5,PRECTOTCORR,raw_nasa,3769,24.753268771557444,24.86182276465906,45.97595057738083,0.34892062637009813,-614.8509718566565,0.9296895728309896,0.9821481701874442,0.05847119224187108,0.9256870443073472,1.0431419220470097,48.95583495208515
5,PRECTOTCORR,anchor_idw_bmd,3133,0.09190331851742864,0.9325517611843928,1.6542971881828725,0.5466229554172051,0.21253355004357133,0.947015639961698,0.9756352245040028,0.03311486719558469,0.9440889188278881,1.009049773755656,1.7384338119024993
5,PRECTOTCORR,global_month_hour_bias,3769,0.9261978075111665,22.080825567537797,37.23280472531413,0.31657958964475025,-402.8924191434207,0.41151499071371717,0.3525736387979768,0.034229828850855744,0.3482221569203644,0.36506991966676583,60.53598284465902
5,PRECTOTCORR,idw_residual,3769,0.2662911557921743,9.641685760920726,20.084042415572394,0.0829998886364266,-116.52126467166025,0.5956487131865216,0.5855400178518299,0.06241067174845164,0.563573883161512,0.6245165129425766,18.312258342766885
5,PRECTOTCORR,linear_stack,3769,-0.02272957272116775,0.8852120123585455,1.603758626263654,0.507445885844059,0.2506370665904002,0.9074024940302468,0.9931567985718536,0.08897379912663755,0.9053430973691348,1.0901517405534067,1.6948527508980422
5,PRECTOTCORR,ml_two_stage,3769,-0.1723755364459288,0.7916209395876829,1.5923531175044607,0.5416208036694681,0.26125770966433814,0.9458742371981959,0.9919666765843499,0.050412987752776986,0.9423403052572075,1.0446295745313894,1.6847378296009554
1,WS10M,raw_nasa,53439,2.879884520069612,2.8809240438630956,3.302097042663863,0.3861054204554305,-207.54626148652267,,,,,,
1,WS10M,anchor_idw_bmd,53187,-0.027263732953990264,0.1344770025887614,0.2227878758827214,0.38457861569551566,0.046788207376676216,,,,,,
1,WS10M,global_month_hour_bias,53439,0.27151968090564976,1.0533554099446045,1.491430377962208,0.31056452717795957,-41.54305897401388,,,,,,
1,WS10M,idw_residual,53439,0.13459467409549689,0.41278063413044913,0.6431893299279715,0.18361228152030545,-6.912257390258245,,,,,,
1,WS10M,linear_stack,53439,-0.028554430032258,0.13643543762094346,0.2105879091001898,0.4125403580930832,0.15181691061791525,,,,,,
1,WS10M,ml_regressor,53439,-0.042415869455524294,0.13370969138825883,0.21660815152794188,0.4024168302573071,0.10262836704561584,,,,,,
2,WS10M,raw_nasa,58257,2.7408785397806272,2.7423550242545955,3.117906582916262,0.35621213829751947,-170.5182469338301,,,,,,
2,WS10M,anchor_idw_bmd,58237,-0.041557333831301266,0.1309448497998378,0.21396902442173088,0.5174676165771384,0.19227871581658806,,,,,,
2,WS10M,global_month_hour_bias,58257,0.11059979432977156,1.0187819633176065,1.3699441496138232,0.29113057692616234,-32.11233867148699,,,,,,
2,WS10M,idw_residual,58257,-0.08950980940663661,0.4004846108769561,0.5584622504824978,0.15090310918301428,-4.502648548116753,,,,,,
2,WS10M,linear_stack,58257,-0.037043404863458675,0.14181355992707834,0.20944703181852226,0.5124169701511164,0.22601498663648223,,,,,,
2,WS10M,ml_regressor,58257,-0.05491853936870384,0.12971481387671102,0.20528583381097645,0.5585909712118067,0.2564638416099688,,,,,,
3,WS10M,raw_nasa,58653,2.670405340153104,2.6710483687449917,3.11282430382105,0.45337647528858543,-289.5826259813916,,,,,,
3,WS10M,anchor_idw_bmd,58625,-0.003283164917873893,0.0963572488673035,0.15574572730263936,0.548555425828453,0.27260656589870347,,,,,,
3,WS10M,global_month_hour_bias,58653,0.01231472049029585,1.084715011567162,1.479512951352649,0.38258432621202376,-64.64444326116137,,,,,,
3,WS10M,idw_residual,58653,-0.16090452616308226,0.5243661231814597,0.8093868179858095,0.13167179752700303,-18.645934009267,,,,,,
