station_id,threshold_mm,hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,accuracy
cox_s_bazar,0.1,1427,1,5478,4782,0.9992997198879552,0.7933381607530775,0.2066319142774399,4.8354341736694675,0.5312286105407256
cox_s_bazar,5.0,610,35,3824,7219,0.9457364341085271,0.8624267027514659,0.13649586037144776,6.874418604651162,0.6698323066392882
cox_s_bazar,10.0,351,39,3060,8238,0.9,0.8970976253298153,0.10173913043478261,8.746153846153845,0.7348562628336756
cox_s_bazar,25.0,101,35,1785,9767,0.7426470588235294,0.9464475079533404,0.052576782925559604,13.867647058823529,0.8442847364818618
dhaka,0.1,1192,47,5161,5288,0.9620661824051655,0.8123721076656698,0.18625,5.1275221953188055,0.5544147843942505
dhaka,5.0,271,84,3013,8320,0.7633802816901408,0.9174786845310596,0.08046318289786224,9.250704225352113,0.7350273785078714
dhaka,10.0,158,70,2036,9424,0.6929824561403509,0.9279854147675478,0.06978798586572438,9.62280701754386,0.8198151950718686
dhaka,25.0,46,31,851,10760,0.5974025974025974,0.9487179487179487,0.04956896551724138,11.64935064935065,0.9245379876796714
dinajpur,0.1,767,23,4631,6267,0.970886075949367,0.8579103371619118,0.14148681055155876,6.832911392405063,0.601813826146475
dinajpur,5.0,271,57,2392,8968,0.8262195121951219,0.8982350732256853,0.09963235294117648,8.11890243902439,0.7904688569472964
dinajpur,10.0,152,54,1641,9841,0.7378640776699029,0.9152258784160625,0.08229561451001624,8.70388349514563,0.8549794661190965
dinajpur,25.0,49,31,706,10902,0.6125,0.9350993377483444,0.062340966921119595,9.4375,0.9369438740588638
faridpur,0.1,936,36,5280,5436,0.9629629629629629,0.8494208494208494,0.14971209213051823,6.395061728395062,0.5451745379876797
faridpur,5.0,254,70,2839,8525,0.7839506172839507,0.9178790817976075,0.08030350932658868,9.546296296296296,0.7511122518822724
faridpur,10.0,117,70,1908,9593,0.6256684491978609,0.9422222222222222,0.0558472553699284,10.828877005347593,0.830766598220397
faridpur,25.0,26,25,781,10856,0.5098039215686274,0.9677819083023544,0.03125,15.823529411764707,0.9310403832991102
feni,0.1,759,16,5454,5459,0.9793548387096774,0.8778367938194109,0.12184941403114465,8.016774193548388,0.5319986310746064
feni,5.0,292,49,3143,8204,0.8563049853372434,0.9149927219796216,0.08381171067738231,10.073313782991203,0.7268993839835729
feni,10.0,151,56,2314,9167,0.7294685990338164,0.9387423935091278,0.059896866322887744,11.908212560386474,0.7972279260780287
feni,25.0,42,33,1106,10507,0.56,0.9634146341463414,0.03556308213378493,15.306666666666667,0.9025496235455168
hatiya,0.1,1332,28,5164,5164,0.9794117647058823,0.7949507389162561,0.2041692213366033,4.776470588235294,0.5557837097878165
hatiya,5.0,586,81,3136,7885,0.8785607196401799,0.8425577646426652,0.1540888772022088,5.580209895052474,0.7247604380561259
hatiya,10.0,308,74,2409,8897,0.806282722513089,0.8866396761133604,0.11035471157291293,7.112565445026178,0.7875598904859685
hatiya,25.0,65,40,1272,10311,0.6190476190476191,0.9513836948391923,0.04720406681190995,12.733333333333333,0.8877481177275839
ishurdi,0.1,763,24,5016,5885,0.9695044472681067,0.8679702370652362,0.13148371531966224,7.3430749682337995,0.5687885010266941
ishurdi,5.0,243,78,2234,9133,0.7570093457943925,0.9018974566007267,0.09510763209393347,7.716510903426792,0.8021902806297057
ishurdi,10.0,111,60,1349,10168,0.6491228070175439,0.923972602739726,0.07302631578947369,8.538011695906432,0.8794490075290896
ishurdi,25.0,22,17,485,11164,0.5641025641025641,0.9566074950690335,0.04198473282442748,13.0,0.9570499657768652
jessore,0.1,803,14,5303,5568,0.9828641370869033,0.8684900098264002,0.1312091503267974,7.473684210526316,0.5450889801505818
jessore,5.0,305,61,2666,8656,0.8333333333333334,0.8973409626388421,0.10059366754617415,8.117486338797814,0.7666837782340863
