source_file,wmo_stations,decoded_rows,nil_rows,parse_skipped
data\raw\ground_ogimet\ogimet_getsynop_Bang_202204080000_202204142359.csv,33,1543,5,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202204150000_202204212359.csv,33,1532,11,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202204220000_202204282359.csv,33,1672,6,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202204290000_202205052359.csv,33,1518,14,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202205060000_202205122359.csv,33,1732,1,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202205130000_202205192359.csv,33,1647,3,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202205200000_202205262359.csv,33,1656,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202205270000_202206022359.csv,33,1680,7,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202206030000_202206092359.csv,33,1419,19,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202206100000_202206162359.csv,33,1698,5,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202206170000_202206232359.csv,33,1587,6,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202206240000_202206302359.csv,33,1707,6,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202207010000_202207072359.csv,33,1676,0,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202207080000_202207142359.csv,33,1295,23,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202207150000_202207212359.csv,33,1482,13,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202207220000_202207282359.csv,33,1699,6,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202207290000_202208042359.csv,33,1548,15,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202208050000_202208112359.csv,33,1696,4,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202208120000_202208182359.csv,33,1607,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202208190000_202208252359.csv,33,1584,4,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202208260000_202209012359.csv,33,1683,6,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202209020000_202209082359.csv,33,1704,4,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202209090000_202209152359.csv,33,1409,22,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202209160000_202209222359.csv,34,1053,29,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202209230000_202209292359.csv,34,1637,8,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202209300000_202210062359.csv,34,1669,4,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202210070000_202210132359.csv,34,1615,9,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202210140000_202210202359.csv,34,1478,12,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202210210000_202210272359.csv,47,1821,71,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202210280000_202211032359.csv,47,2038,125,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202211040000_202211102359.csv,47,2016,106,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202211110000_202211172359.csv,47,1844,143,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202211180000_202211242359.csv,47,1975,134,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202211250000_202212012359.csv,47,2004,140,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202212020000_202212082359.csv,47,1982,152,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202212090000_202212152359.csv,47,1992,152,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202212160000_202212222359.csv,47,1979,150,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202212230000_202212292359.csv,47,1964,136,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202212300000_202301052359.csv,47,2010,97,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202301060000_202301122359.csv,47,2043,117,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202301130000_202301192359.csv,47,2008,137,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202301200000_202301262359.csv,47,1893,125,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202301270000_202302022359.csv,47,1828,124,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202302030000_202302092359.csv,34,1709,1,0
data\raw\ground_ogimet\ogimet_getsynop_Bang_202302100000_202302162359.csv,34,1741,1,0
