split,variable,horizon_bucket,candidate,n,bias,mae,rmse,pearson_r,brier,pod,far,csi,wet_amount_rmse,interval_coverage_90,weighted_interval_score
spatial_temporal_test_2024,PRECTOTCORR,51-72,nasa_daily_seasonal,1077,10.968969359331474,11.46744661095636,29.6497153421413,0.174764403227559,0.5338904363974002,0.912621359223301,0.8575757575757575,0.14050822122571002,44.56112680734662,,
spatial_temporal_test_2024,PRECTOTCORR,75-96,hist_gradient_direct,1082,0.45872960938721463,1.4710799191345922,4.391245945523374,0.2813526387670745,0.08357199838844175,0.5420560747663551,0.768,0.1939799331103679,14.13256930759968,0.9177449168207024,0.8611678043199347
spatial_temporal_test_2024,PRECTOTCORR,75-96,nasa_daily_seasonal,1082,10.8443438077634,11.432421441774492,29.828376504879053,0.10302651017851487,0.5369685767097967,0.8691588785046729,0.8590909090909091,0.13798219584569732,27.392929548467645,,
validation_2023,WS10M,0-24,hist_gradient_direct,12740,-0.007327991548188807,1.019206128201359,1.5076840643019183,0.6840430129791162,,,,,,0.9455259026687598,0.5134846408033801
validation_2023,WS10M,0-24,nasa_persistence,12740,1.3690306122448976,2.062970957613815,2.4760041887168063,0.3179154306898589,,,,,,,
validation_2023,WS10M,27-48,hist_gradient_direct,7644,0.034995176779673676,1.079348520836661,1.7019876045986517,0.6444802070017238,,,,,,0.9459706959706959,0.5432393614282356
validation_2023,WS10M,27-48,nasa_daily_seasonal,7644,1.1822854526425954,2.102706698063841,2.655828313713155,0.15275740321203768,,,,,,,
validation_2023,WS10M,51-72,hist_gradient_direct,5124,0.04948026423453917,1.1056804687222135,1.585890339325198,0.6554214234763294,,,,,,0.9517954722872756,0.5515117278526673
validation_2023,WS10M,51-72,nasa_persistence,5124,1.237416081186573,2.113161592505855,2.5890324509372697,0.18001871520055948,,,,,,,
validation_2023,WS10M,75-96,hist_gradient_direct,5124,-0.02868433499049528,1.1719301454403226,1.7619411888704968,0.6082756920877355,,,,,,0.9480874316939891,0.6019133764002532
validation_2023,WS10M,75-96,nasa_daily_seasonal,5124,1.0533587041373926,2.1442174082747854,2.6491548996386505,0.10858679690128564,,,,,,,
spatial_temporal_test_2024,WS10M,0-24,hist_gradient_direct,3107,0.4054389237843991,1.4667422785650663,1.9139732962627398,0.3276288786304821,,,,,,0.8216929514000644,0.7512312980614002
spatial_temporal_test_2024,WS10M,0-24,nasa_persistence,3107,1.2927518506598004,1.8616478918570967,2.26208412523414,0.42815008615803307,,,,,,,
spatial_temporal_test_2024,WS10M,27-48,hist_gradient_direct,1868,0.35831530432909886,1.6315248655940728,2.260138835685251,0.21873777551600876,,,,,,0.8013918629550322,0.8365751051435217
spatial_temporal_test_2024,WS10M,27-48,nasa_persistence,1868,1.1136188436830834,1.9364668094218416,2.550437402130104,0.2653115109842518,,,,,,,
spatial_temporal_test_2024,WS10M,51-72,hist_gradient_direct,1243,0.3890173199909924,1.6150170508588413,2.3296965382102472,0.2288331870966341,,,,,,0.8479485116653258,0.8424657280378178
spatial_temporal_test_2024,WS10M,51-72,nasa_persistence,1243,1.0867497988736927,1.9965969428801287,2.671094746355216,0.20684581029384103,,,,,,,
spatial_temporal_test_2024,WS10M,75-96,hist_gradient_direct,1249,0.4083650917090492,1.5401688121451798,2.027295080304303,0.29643444151822995,,,,,,0.866293034427542,0.7966068952381258
spatial_temporal_test_2024,WS10M,75-96,nasa_persistence,1249,1.1208006405124098,1.957357886309047,2.4387481530578827,0.25043785562330145,,,,,,,
